Arizona Cardinals,ARI,Arizona,Glendale
Atlanta Falcons,ATL,Georgia,Atlanta
Baltimore Ravens,BAL,Maryland,Baltimore
Buffalo Bills,BUF,New York,Orchard Park
Carolina Panthers,CAR,North Carolina,Charlotte
Chicago Bears,CHI,Illinois,Chicago
Cincinnati Bengals,CIN,Ohio,Cincinnati
Cleveland Browns,CLE,Ohio,Cleveland
Dallas Cowboys,DAL,Texas,Arlington
Denver Broncos,DEN,Colorado,Denver
Detroit Lions,DET,Michigan,Detroit
Green Bay Packers,GNB,Wisconsin,Green Bay
Houston Texans,HOU,Texas,Houston
Indianapolis Colts,IND,Indiana,Indianapolis
Jacksonville Jaguars,JAX,Florida,Jacksonville
Kansas City Chiefs,KAN,Missouri,Kansas City
Las Vegas Raiders,LVR,Nevada,Paradise
Los Angeles Chargers,LAC,California,Inglewood
Los Angeles Rams,LAR,California,Inglewood
Miami Dolphins,MIA,Florida,Miami Gardens
Minnesota Vikings,MIN,Minnesota,Minneapolis
New England Patriots,NWE,Massachusetts,Foxborough
New Orleans Saints,NOR,Louisiana,New Orleans
New York Giants,NYG,New Jersey,East Rutherford
New York Jets,NYJ,New Jersey,East Rutherford
Oakland Raiders,OAK,California,Oakland
Philadelphia Eagles,PHI,Pennsylvannia,Philadelphia
Pittsburgh Steelers,PIT,Pennsylvannia,Pittsburgh
San Diego Chargers,SDG,California,San Diego
San Francisco 49ers,SFO,California,Santa Clara
Seattle Seahawks,SEA,Washington,Seattle
St Louis Rams,STL,Missouri,St. Louis
Tampa Bay Bucaneers,TAM,Florida,Tampa
Tennessee Titans,TEN,Tennessee,Nashville
Washington Redskins,WAS,Maryland,Landover
Washington Football Team,WFT,Maryland,Landover
