Tm,Player,year,Cap Hit
NOR,Drew Brees,2015,26400000
SDG,Philip Rivers,2015,21166668
DET,Calvin Johnson,2015,20558000
CAR,Charles Johnson,2015,20020000
ATL,Matt Ryan,2015,19500000
BUF,Mario Williams,2015,19400000
GNB,Aaron Rodgers,2015,18250000
DET,Matthew Stafford,2015,17721250
DEN,Peyton Manning,2015,17500000
PIT,Ben Roethlisberger,2015,17245000
STL,Robert Quinn,2015,16744111
CHI,Jay Cutler,2015,16500000
NYJ,Darrelle Revis,2015,16000000
KAN,Alex Smith,2015,15600000
MIN,Adrian Peterson,2015,15400000
SFO,Colin Kaepernick,2015,15265753
DAL,Tony Romo,2015,14973000
ARI,Patrick Peterson,2015,14791491
ARI,Calais Campbell,2015,14750000
CIN,A.J. Green,2015,14750000
TAM,Gerald McCoy,2015,14595000
BAL,Joe Flacco,2015,14550000
NYG,Eli Manning,2015,14450000
NWE,Tom Brady,2015,14000000
HOU,J.J. Watt,2015,13969000
DEN,Demaryius Thomas,2015,13200000
OAK,Rodney Hudson,2015,13000000
CAR,Cam Newton,2015,13000000
PHI,Sam Bradford,2015,12985000
DAL,Brandon Carr,2015,12717000
GNB,Clay Matthews,2015,12700000
2TM,Jared Allen,2015,12500000
STL,Chris Long,2015,12500000
ATL,Julio Jones,2015,12400000
TAM,Vincent Jackson,2015,12209777
SEA,Richard Sherman,2015,12200000
GNB,Julius Peppers,2015,12000000
CAR,Ryan Kalil,2015,11795000
HOU,Johnathan Joseph,2015,11750000
CLE,Joe Haden,2015,11700000
NYJ,D'Brickashaw Ferguson,2015,11698666
IND,Vontae Davis,2015,11250000
ARI,Larry Fitzgerald,2015,10850000
MIA,Branden Albert,2015,10725000
WAS,Trent Williams,2015,10680388
NWE,Rob Gronkowski,2015,10650000
MIA,Cameron Wake,2015,10450000
NYJ,Nick Mangold,2015,10407100
JAX,Julius Thomas,2015,10300000
CLE,Joe Thomas,2015,10200000
SDG,Eric Weddle,2015,10100000
MIN,Mike Wallace,2015,9900000
DEN,Von Miller,2015,9754000
WAS,Pierre Garcon,2015,9700000
CIN,Leon Hall,2015,9600000
CIN,Andy Dalton,2015,9600000
HOU,Duane Brown,2015,9500000
PIT,Lawrence Timmons,2015,9251250
WAS,DeSean Jackson,2015,9250000
BAL,Lardarius Webb,2015,9250000
CHI,Matt Forte,2015,9200000
GNB,Sam Shields,2015,9062500
PHI,Jason Peters,2015,9050000
JAX,Jared Odrick,2015,9000000
NYJ,Brandon Marshall,2015,9000000
CIN,Geno Atkins,2015,9000000
HOU,Arian Foster,2015,8706250
PHI,Byron Maxwell,2015,8700000
OAK,Lorenzo Alexander,2015,8700000
DEN,DeMarcus Ware,2015,8666666
TEN,Jason McCourty,2015,8600000
DAL,Jason Witten,2015,8512000
ARI,Jared Veldheer,2015,8500000
DET,Haloti Ngata,2015,8500000
SEA,Marshawn Lynch,2015,8500000
BAL,Marshal Yanda,2015,8450000
SDG,Antonio Gates,2015,8374264
KAN,Eric Berry,2015,8357700
STL,Jared Cook,2015,8300441
CAR,Jonathan Stewart,2015,8300000
STL,Rodger Saffold,2015,8250000
CLE,Paul Kruger,2015,8200000
MIN,Everson Griffen,2015,8200000
TEN,Michael Griffin,2015,8100000
CHI,Jermon Bushrod,2015,8050000
OAK,Dan Williams,2015,8000000
CLE,Alex Mack,2015,8000000
SEA,Jimmy Graham,2015,8000000
SEA,Cliff Avril,2015,8000000
JAX,Jermey Parnell,2015,8000000
SEA,Michael Bennett,2015,8000000
SDG,Corey Liuget,2015,7977000
KAN,Jamaal Charles,2015,7970835
HOU,Brian Cushing,2015,7891250
BUF,Marcell Dareus,2015,7823530
MIA,Reshad Jones,2015,7712942
BAL,Eugene Monroe,2015,7700000
SFO,NaVorro Bowman,2015,7654000
CAR,Thomas Davis,2015,7650000
SFO,Joe Staley,2015,7600000
DEN,T.J. Ward,2015,7514705
IND,Andre Johnson,2015,7500000
NYJ,David Harris,2015,7500000
IND,Robert Mathis,2015,7470586
HOU,Kareem Jackson,2015,7453125
IND,Anthony Castonzo,2015,7438000
SEA,Earl Thomas,2015,7400000
BAL,Elvis Dumervil,2015,7375000
ARI,Carson Palmer,2015,7375000
NYG,Jason Pierre-Paul,2015,7350000
SEA,Russell Okung,2015,7280000
NYG,Dominique Rodgers-Cromartie,2015,7250000
CIN,Rey Maualuga,2015,7137500
PIT,Antonio Brown,2015,7120833
SFO,Ahmad Brooks,2015,7055000
SEA,Russell Wilson,2015,7054868
IND,Andrew Luck,2015,7034363
NWE,Sebastian Vollmer,2015,7020833
TAM,Logan Mankins,2015,7000000
PHI,Connor Barwin,2015,7000000
CLE,Desmond Bryant,2015,7000000
MIA,Mike Pouncey,2015,7000000
KAN,Sean Smith,2015,7000000
GNB,Josh Sitton,2015,7000000
DAL,Dez Bryant,2015,7000000
NOR,Jahri Evans,2015,7000000
NYJ,Antonio Cromartie,2015,7000000
CHI,Lamarr Houston,2015,6990000
PIT,Cortez Allen,2015,6981000
NYJ,Muhammad Wilkerson,2015,6969000
DEN,Aqib Talib,2015,6968750
2TM,Vernon Davis,2015,6967920
IND,Trent Cole,2015,6953125
BUF,Kyle Williams,2015,6950000
SFO,Anquan Boldin,2015,6909000
NYG,Prince Amukamara,2015,6898000
JAX,Paul Posluszny,2015,6885416
CLE,Donte Whitner,2015,6750000
TEN,Jurrell Casey,2015,6720000
ARI,Mike Iupati,2015,6700000
CHI,Pernell McPhee,2015,6675000
BUF,Eric Wood,2015,6650000
JAX,Davon House,2015,6500000
CLE,Tramon Williams,2015,6500000
NOR,Marques Colston,2015,6500000
NYJ,Eric Decker,2015,6500000
OAK,Curtis Lofton,2015,6500000
MIN,Kyle Rudolph,2015,6440625
PIT,Cameron Heyward,2015,6400000
OAK,Austin Howard,2015,6400000
CIN,Andre Smith,2015,6362500
CAR,Greg Olsen,2015,6300000
MIN,Matt Kalil,2015,6290644
DEN,Louis Vasquez,2015,6250000
WAS,Ryan Kerrigan,2015,6238000
CIN,Andrew Whitworth,2015,6200000
BUF,Jerry Hughes,2015,6175000
CHI,Martellus Bennett,2015,6125000
TAM,Lavonte David,2015,6104642
NWE,Jerod Mayo,2015,6100000
MIA,Ndamukong Suh,2015,6100000
KAN,Eric Fisher,2015,6051954
PHI,Brandon Graham,2015,6000000
NWE,Devin McCourty,2015,6000000
DEN,Emmanuel Sanders,2015,5850000
IND,Greg Toler,2015,5833334
GNB,T.J. Lang,2015,5800000
DET,Stephen Tulloch,2015,5800000
JAX,Luke Joeckel,2015,5782254
IND,D'Qwell Jackson,2015,5750000
SEA,Brandon Mebane,2015,5700000
PHI,Malcolm Jenkins,2015,5666666
MIN,Brian Robison,2015,5650000
SEA,Kam Chancellor,2015,5650000
NWE,Nate Solder,2015,5604666
STL,Lance Kendricks,2015,5600000
MIN,Chad Greenway,2015,5575000
NOR,Jairus Byrd,2015,5500000
BUF,LeSean McCoy,2015,5500000
CHI,Eddie Royal,2015,5500000
CLE,Karlos Dansby,2015,5500000
SDG,Donald Butler,2015,5480000
DAL,Sean Lee,2015,5450000
JAX,Sen'Derrick Marks,2015,5425000
OAK,Donald Penn,2015,5400000
GNB,Randall Cobb,2015,5350000
ARI,Jerraud Powers,2015,5350000
TEN,Delanie Walker,2015,5275000
KAN,Derrick Johnson,2015,5250000
PHI,Lane Johnson,2015,5225974
HOU,Brian Hoyer,2015,5218750
WAS,Jason Hatcher,2015,5203125
DAL,Morris Claiborne,2015,5175069
CIN,Vontaze Burfict,2015,5175000
GNB,Morgan Burnett,2015,5131250
NYJ,Breno Giacomini,2015,5125000
KAN,Justin Houston,2015,5100000
CIN,Clint Boling,2015,5100000
DET,Ezekiel Ansah,2015,5071232
HOU,Jadeveon Clowney,2015,5062045
DAL,Tyron Smith,2015,5039000
CLE,Andrew Hawkins,2015,5000000
CHI,Antrel Rolle,2015,5000000
PHI,DeMarco Murray,2015,5000000
JAX,Zane Beadles,2015,5000000
BUF,Charles Clay,2015,5000000
JAX,Chris Clemons,2015,5000000
OAK,Justin Tuck,2015,4968750
KAN,Tamba Hali,2015,4964706
CIN,Carlos Dunlap,2015,4900000
BUF,Leodis McKelvin,2015,4900000
MIA,Ryan Tannehill,2015,4873364
STL,Greg Robinson,2015,4837295
WAS,DeAngelo Hall,2015,4812500
PHI,Riley Cooper,2015,4800000
KAN,Chase Daniel,2015,4800000
PHI,Brent Celek,2015,4800000
CIN,Reggie Nelson,2015,4775000
SEA,K.J. Wright,2015,4750000
STL,Nick Fairley,2015,4750000
NWE,Rob Ninkovich,2015,4750000
SFO,Antoine Bethea,2015,4750000
SDG,Malcom Floyd,2015,4716668
JAX,Blake Bortles,2015,4694275
TEN,Sammie Lee Hill,2015,4666668
2TM,Cary Williams,2015,4666666
NWE,Julian Edelman,2015,4656250
SEA,Doug Baldwin,2015,4650000
TAM,Jameis Winston,2015,4609323
MIN,Linval Joseph,2015,4600000
JAX,Dan Skuta,2015,4600000
SDG,Orlando Franklin,2015,4600000
MIA,Jordan Cameron,2015,4562500
BUF,Sammy Watkins,2015,4530819
CLE,Dwayne Bowe,2015,4500000
MIA,Earl Mitchell,2015,4500000
IND,Frank Gore,2015,4500000
NOR,Keenan Lewis,2015,4500000
HOU,Derek Newton,2015,4500000
STL,William Hayes,2015,4480000
TEN,Brian Orakpo,2015,4468750
CLE,Barkevious Mingo,2015,4458273
BUF,Corey Graham,2015,4450000
MIA,Koa Misi,2015,4438000
TEN,Marcus Mariota,2015,4402541
PHI,Jason Kelce,2015,4400000
DET,DeAndre Levy,2015,4400000
SDG,Mike Scifres,2015,4347500
MIN,Captain Munnerlyn,2015,4333333
WAS,Kory Lichtensteiger,2015,4300000
STL,Kenny Britt,2015,4300000
STL,James Laurinaitis,2015,4275000
SDG,Brandon Flowers,2015,4250000
GNB,Mike Neal,2015,4250000
TAM,Bruce Carter,2015,4250000
IND,Erik Walden,2015,4250000
WAS,Stephen Paea,2015,4250000
IND,Kendall Langford,2015,4250000
TAM,Alterraun Verner,2015,4250000
OAK,Khalil Mack,2015,4244773
OAK,Charles Woodson,2015,4200000
NOR,Cameron Jordan,2015,4169000
BAL,Steve Smith,2015,4166666
NYG,Jon Beason,2015,4154166
PIT,Heath Miller,2015,4151666
SFO,Phil Dawson,2015,4134000
SDG,King Dunlap,2015,4125000
OAK,Amari Cooper,2015,4120566
PHI,Darren Sproles,2015,4100000
SDG,Donald Brown,2015,4083333
WAS,Chris Culliver,2015,4073529
WAS,Perry Riley,2015,4049804
STL,Nick Foles,2015,4042000
NOR,David Hawthorne,2015,4010000
CAR,Luke Kuechly,2015,4002283
WAS,Terrance Knighton,2015,4000000
TEN,Derrick Morgan,2015,4000000
WAS,Shawn Lauvao,2015,4000000
BUF,Percy Harvin,2015,4000000
NWE,Jabaal Sheard,2015,4000000
OAK,Malcolm Smith,2015,4000000
WAS,Dashon Goldson,2015,4000000
DET,Jason Jones,2015,3983333
CHI,Evander Hood,2015,3975000
ARI,Jonathan Cooper,2015,3967910
BAL,Terrell Suggs,2015,3950000
HOU,Garrett Graham,2015,3921875
CLE,Josh McCown,2015,3916666
BUF,Aaron Williams,2015,3900000
BAL,Daryl Smith,2015,3875000
ARI,Drew Stanton,2015,3866668
WAS,Brandon Scherff,2015,3857388
JAX,Roy Miller,2015,3850000
ARI,Sean Weatherspoon,2015,3850000
JAX,Marcedes Lewis,2015,3850000
BUF,Stephon Gilmore,2015,3844959
KAN,Dustin Colquitt,2015,3800000
DET,Brandon Pettigrew,2015,3800000
WAS,Andre Roberts,2015,3750000
TAM,Evan Dietrich-Smith,2015,3750000
PHI,Mark Sanchez,2015,3750000
TAM,Henry Melton,2015,3750000
SFO,Alex Boone,2015,3723000
BAL,Jeremy Zuttah,2015,3700000
CIN,Domata Peko,2015,3700000
TEN,Da'Norris Searcy,2015,3625000
TEN,Ropati Pitoitua,2015,3612500
OAK,Sebastian Janikowski,2015,3610000
KAN,Dontari Poe,2015,3601822
BAL,Jimmy Smith,2015,3600000
CHI,Robbie Gould,2015,3600000
NWE,Stephen Gostkowski,2015,3600000
SFO,Torrey Smith,2015,3600000
OAK,Marcel Reece,2015,3580838
DET,Glover Quin,2015,3572500
GNB,Bryan Bulaga,2015,3568750
GNB,Mason Crosby,2015,3550000
TEN,Wesley Woodyard,2015,3500000
NWE,Brandon LaFell,2015,3500000
DET,Joique Bell,2015,3500000
ATL,William Moore,2015,3500000
HOU,Vince Wilfork,2015,3500000
MIN,Brandon Fusco,2015,3485000
STL,Tavon Austin,2015,3477546
NYJ,Dee Milliner,2015,3453010
CAR,Mike Tolbert,2015,3425000
KAN,Jeremy Maclin,2015,3400000
NOR,Thomas Morstead,2015,3400000
NYJ,Leonard Williams,2015,3387430
TEN,Dexter McCluster,2015,3350000
OAK,Lee Smith,2015,3350000
SFO,Erik Pears,2015,3350000
TEN,Perrish Cox,2015,3333333
TAM,Mike Evans,2015,3325341
SEA,Steven Hauschka,2015,3325000
TEN,Chance Warmack,2015,3318177
CHI,Matt Slauson,2015,3267500
PHI,Fletcher Cox,2015,3258036
PIT,Marcus Gilbert,2015,3256000
MIN,Shaun Hill,2015,3250000
NYJ,Ryan Fitzpatrick,2015,3250000
DAL,Barry Church,2015,3250000
TAM,Clinton McDonald,2015,3250000
PHI,Walter Thurmond,2015,3250000
KAN,Allen Bailey,2015,3231250
NOR,Zach Strief,2015,3200000
OAK,Michael Crabtree,2015,3200000
BAL,Shareece Wright,2015,3200000
IND,Pat McAfee,2015,3200000
2TM,Ryan Mallett,2015,3187500
ARI,Michael Floyd,2015,3172750
CHI,Willie Young,2015,3166666
IND,T.Y. Hilton,2015,3131850
NYJ,Marcus Gilchrist,2015,3125000
NWE,Danny Amendola,2015,3116666
SDG,D.J. Fluker,2015,3109771
ARI,Jermaine Gresham,2015,3109375
BUF,Manny Lawson,2015,3100000
CAR,Graham Gano,2015,3100000
IND,Mike Adams,2015,3100000
CIN,Vincent Rey,2015,3100000
DET,Golden Tate,2015,3096250
IND,Joe Reitz,2015,3062500
DAL,Greg Hardy,2015,3041379
STL,Michael Brockers,2015,3029727
PHI,Mychal Kendricks,2015,3014141
HOU,Rahim Moore,2015,3000000
IND,Matt Hasselbeck,2015,3000000
