Year,Winner,Winner Score,Loser,Loser Score,NeilsonRating,Attendance,TV Viewers,Streaming,Spanish,Out Of Home,Total
1967,Green Bay Packers,35,Kansas City Chiefs,10,41.1,137492,51180000,0,0,0,51317492
1968,Green Bay Packers,33,Oakland Raiders,14,36.8,75546,39120000,0,0,0,39195546
1969,New York Jets,16,Baltimore Colts,7,36,75389,41660000,0,0,0,41735389
1970,Kansas City Chiefs,23,Minnesota Vikings,7,39.4,80562,44270000,0,0,0,44350562
1971,Baltimore Colts,16,Dallas Cowboys,13,39.9,79204,46040000,0,0,0,46119204
1972,Dallas Cowboys,24,Miami Dolphins,3,44.2,81023,56640000,0,0,0,56721023
1973,Miami Dolphins,14,Washington Redskins,7,42.7,90182,53320000,0,0,0,53410182
1974,Miami Dolphins,24,Minnesota Vikings,7,41.6,71882,51700000,0,0,0,51771882
1975,Pittsburgh Steelers,16,Minnesota Vikings,6,42.4,80997,56050000,0,0,0,56130997
1976,Pittsburgh Steelers,21,Dallas Cowboys,17,42.3,80187,57710000,0,0,0,57790187
1977,Oakland Raiders,32,Minnesota Vikings,14,44.4,103438,62050000,0,0,0,62153438
1978,Dallas Cowboys,27,Denver Broncos,10,47.2,76400,78940000,0,0,0,79016400
1979,Pittsburgh Steelers,35,Dallas Cowboys,31,47.1,79484,74740000,0,0,0,74819484
1980,Pittsburgh Steelers,31,Los Angeles Rams,19,46.3,103985,76240000,0,0,0,76343985
1981,Oakland Raiders,27,Philadelphia Eagles,10,44.4,76135,68290000,0,0,0,68366135
1982,San Francisco 49ers,26,Cincinnati Bengals,21,49.1,81270,85240000,0,0,0,85321270
1983,Washington Redskins,27,Miami Dolphins,17,48.6,103667,81770000,0,0,0,81873667
1984,Los Angeles Raiders,38,Washington Redskins,9,46.4,72920,77620000,0,0,0,77692920
1985,San Francisco 49ers,38,Miami Dolphins,16,46.4,84059,85530000,0,0,0,85614059
1986,Chicago Bears,46,New England Patriots,10,48.3,73818,92570000,0,0,0,92643818
1987,New York Giants,39,Denver Broncos,20,45.8,101063,87190000,0,0,0,87291063
1988,Washington Redskins,42,Denver Broncos,10,41.9,73302,80140000,0,0,0,80213302
1989,San Francisco 49ers,20,Cincinnati Bengals,16,43.5,75129,81590000,0,0,0,81665129
1990,San Francisco 49ers,55,Denver Broncos,10,39,72919,73850000,0,0,0,73922919
1991,New York Giants,20,Buffalo Bills,19,41.9,73813,79510000,0,0,0,79583813
1992,Washington Redskins,37,Buffalo Bills,24,40.3,63130,79590000,0,0,0,79653130
1993,Dallas Cowboys,52,Buffalo Bills,17,45.1,98374,90990000,0,0,0,91088374
1994,Dallas Cowboys,30,Buffalo Bills,13,45.5,72817,90000000,0,0,0,90072817
1995,San Francisco 49ers,49,San Diego Chargers,26,41.3,74107,83420000,0,0,0,83494107
1996,Dallas Cowboys,27,Pittsburgh Steelers,17,46,76347,94080000,0,0,0,94156347
1997,Green Bay Packers,35,New England Patriots,21,43.3,72301,87870000,0,0,0,87942301
1998,Denver Broncos,31,Green Bay Packers,24,44.5,68912,90000000,0,0,0,90068912
1999,Denver Broncos,34,Atlanta Falcons,19,40.2,74803,83720000,0,0,0,83794803
2000,St. Louis Rams,23,Tennessee Titans,16,43.3,72625,88470000,0,0,0,88542625
2001,Baltimore Ravens,34,New York Giants,7,40.4,71921,84340000,0,0,0,84411921
2002,New England Patriots,20,St. Louis Rams,17,40.4,72922,86800000,0,0,0,86872922
2003,Tampa Bay Buccaneers,48,Oakland Raiders,21,40.7,67603,88640000,0,0,0,88707603
2004,New England Patriots,32,Carolina Panthers,29,41.4,71525,89800000,0,0,0,89871525
2005,New England Patriots,24,Philadelphia Eagles,21,41.1,78125,86070000,0,0,0,86148125
2006,Pittsburgh Steelers,21,Seattle Seahawks,10,41.6,68206,90750000,0,0,0,90818206
2007,Indianapolis Colts,29,Chicago Bears,17,42.6,74512,93180000,0,0,0,93254512
2008,New York Giants,17,New England Patriots,14,43.1,71101,97450000,0,0,0,97521101
2009,Pittsburgh Steelers,27,Arizona Cardinals,23,42,70774,98730000,0,0,0,98800774
2010,New Orleans Saints,31,Indianapolis Colts,17,45,74059,106480000,0,0,0,106554059
2011,Green Bay Packers,31,Pittsburgh Steelers,25,46,103219,111010000,0,0,0,111113219
2012,New York Giants,21,New England Patriots,17,47,68658,111350000,346000,0,0,111764658
2013,Baltimore Ravens,34,San Francisco 49ers,31,46.4,71024,108690000,508000,0,0,109269024
2014,Seattle Seahawks,43,Denver Broncos,8,46.7,82529,112190000,531000,561000,0,113364529
2015,New England Patriots,28,Seattle Seahawks,24,47.5,70288,114440000,973000,368000,0,115851288
2016,Denver Broncos,24,Carolina Panthers,10,46.6,71088,111860000,1400000,472000,0,113803088
2017,New England Patriots,34,Atlanta Falcons,28,45.3,70807,111320000,1720000,650000,0,113760807
2018,Philadelphia Eagles,41,New England Patriots,33,43.1,67612,103390000,2020000,543000,12000000,118020612
2019,New England Patriots,13,Los Angeles Rams,3,41.1,70081,98190000,2600000,473000,12000000,113333081
2020,Kansas City Chiefs,31,San Francisco 49ers,20,41.6,62417,100450000,3400000,757000,13000000,117669417
